col_idx,key,coef,block,zero_penalty,target_penalty,target
0,2207_off,-0.0004551687257755944,off,3000.0,0.0,0.0
1,2207_def,0.0008545064708332673,def,3000.0,0.0,0.0
2,2544_off,0.04018551202998931,off,3000.0,0.0,0.0
3,2544_def,-0.01319888258416886,def,3000.0,0.0,0.0
4,2546_off,-0.006626113737220636,off,3000.0,0.0,0.0
5,2546_def,0.0021804518933752695,def,3000.0,0.0,0.0
6,2617_off,-0.00923030508466286,off,3000.0,0.0,0.0
7,2617_def,0.00099826377246556,def,3000.0,0.0,0.0
8,2730_off,-0.002633810068150905,off,3000.0,0.0,0.0
9,2730_def,0.0003161282549866996,def,3000.0,0.0,0.0
10,2738_off,-0.0048670044308367225,off,3000.0,0.0,0.0
11,2738_def,-0.02106315994918202,def,3000.0,0.0,0.0
12,2772_off,-0.014541324523385293,off,3000.0,0.0,0.0
13,2772_def,0.0034188380715273743,def,3000.0,0.0,0.0
14,101108_off,0.004852358759932979,off,3000.0,0.0,0.0
15,101108_def,-0.036105463077494945,def,3000.0,0.0,0.0
16,101139_off,-0.0004551687257755944,off,3000.0,0.0,0.0
17,101139_def,0.0008545064708332674,def,3000.0,0.0,0.0
18,101150_off,-0.0024205357623647214,off,3000.0,0.0,0.0
19,101150_def,-0.002923509692382736,def,3000.0,0.0,0.0
20,200746_off,0.0029503858873270454,off,3000.0,0.0,0.0
21,200746_def,-0.004817941489662573,def,3000.0,0.0,0.0
22,200752_off,0.005413628520369516,off,3000.0,0.0,0.0
23,200752_def,-0.0225032912212418,def,3000.0,0.0,0.0
24,200765_off,-0.0290854361999981,off,3000.0,0.0,0.0
25,200765_def,-0.0015454210626011829,def,3000.0,0.0,0.0
26,200768_off,-0.004715704703110938,off,3000.0,0.0,0.0
27,200768_def,-0.01994146712936756,def,3000.0,0.0,0.0
28,200782_off,0.008560171040791886,off,3000.0,0.0,0.0
29,200782_def,-0.00536490669798112,def,3000.0,0.0,0.0
30,200794_off,-0.011362695680499975,off,3000.0,0.0,0.0
31,200794_def,-0.001898854645448154,def,3000.0,0.0,0.0
32,201142_off,0.039371509801460654,off,3000.0,0.0,0.0
33,201142_def,-0.030825585833624554,def,3000.0,0.0,0.0
34,201143_off,0.014075672188781398,off,3000.0,0.0,0.0
35,201143_def,-0.014189248318877235,def,3000.0,0.0,0.0
36,201144_off,0.015590572305102877,off,3000.0,0.0,0.0
37,201144_def,-0.009373306706781109,def,3000.0,0.0,0.0
38,201145_off,-0.016082540020517143,off,3000.0,0.0,0.0
39,201145_def,0.00881460289708607,def,3000.0,0.0,0.0
40,201152_off,-0.007898328514726998,off,3000.0,0.0,0.0
41,201152_def,0.002547211111511266,def,3000.0,0.0,0.0
42,201565_off,-0.02711381584602818,off,3000.0,0.0,0.0
43,201565_def,-0.007524114255933402,def,3000.0,0.0,0.0
44,201566_off,-0.006622794835468191,off,3000.0,0.0,0.0
45,201566_def,0.0012068735200575884,def,3000.0,0.0,0.0
46,201567_off,-0.0005298363145483575,off,3000.0,0.0,0.0
47,201567_def,-0.01270247892779053,def,3000.0,0.0,0.0
48,201568_off,0.012294962972790426,off,3000.0,0.0,0.0
49,201568_def,0.008965370295399101,def,3000.0,0.0,0.0
50,201569_off,0.0025461934098209233,off,3000.0,0.0,0.0
51,201569_def,-0.004210663696715459,def,3000.0,0.0,0.0
52,201571_off,-0.008895680314393629,off,3000.0,0.0,0.0
53,201571_def,0.025499850748615813,def,3000.0,0.0,0.0
54,201572_off,-0.011936776653889208,off,3000.0,0.0,0.0
55,201572_def,-0.04055728259924798,def,3000.0,0.0,0.0
56,201577_off,-0.023193248435052473,off,3000.0,0.0,0.0
57,201577_def,0.005585151772532168,def,3000.0,0.0,0.0
58,201580_off,-0.014891819445815453,off,3000.0,0.0,0.0
59,201580_def,-0.010985610550742325,def,3000.0,0.0,0.0
60,201586_off,-0.023042493521518295,off,3000.0,0.0,0.0
61,201586_def,-0.004727013587480287,def,3000.0,0.0,0.0
62,201587_off,0.008626457502197558,off,3000.0,0.0,0.0
63,201587_def,-0.013054273032338595,def,3000.0,0.0,0.0
64,201588_off,-0.002393117375404152,off,3000.0,0.0,0.0
65,201588_def,-0.05185243573521378,def,3000.0,0.0,0.0
66,201599_off,-0.03109036977135603,off,3000.0,0.0,0.0
67,201599_def,0.012362891733427256,def,3000.0,0.0,0.0
68,201609_off,0.0042592549635624265,off,3000.0,0.0,0.0
69,201609_def,0.00531922440028533,def,3000.0,0.0,0.0
70,201933_off,-0.010164382669494062,off,3000.0,0.0,0.0
71,201933_def,0.001957995415945556,def,3000.0,0.0,0.0
72,201935_off,0.033926781852795136,off,3000.0,0.0,0.0
73,201935_def,0.005213229204793124,def,3000.0,0.0,0.0
74,201937_off,-0.013485356826125896,off,3000.0,0.0,0.0
75,201937_def,-0.0411189479788222,def,3000.0,0.0,0.0
76,201939_off,0.043161368788964295,off,3000.0,0.0,0.0
77,201939_def,-0.016403364330512288,def,3000.0,0.0,0.0
78,201942_off,0.02207787355595598,off,3000.0,0.0,0.0
79,201942_def,-0.0031536059791219635,def,3000.0,0.0,0.0
80,201949_off,-0.010267773976924454,off,3000.0,0.0,0.0
81,201949_def,-0.004308648139284546,def,3000.0,0.0,0.0
82,201950_off,0.044641104750658724,off,3000.0,0.0,0.0
83,201950_def,-0.02401685247683171,def,3000.0,0.0,0.0
84,201954_off,-0.002859042672331027,off,3000.0,0.0,0.0
85,201954_def,0.002177457623393009,def,3000.0,0.0,0.0
86,201959_off,-0.000143380247168748,off,3000.0,0.0,0.0
87,201959_def,-0.016167752014913106,def,3000.0,0.0,0.0
88,201961_off,-0.012230815675636835,off,3000.0,0.0,0.0
89,201961_def,0.009293661519721988,def,3000.0,0.0,0.0
90,201976_off,-0.012756567985436174,off,3000.0,0.0,0.0
91,201976_def,-0.014292156295548284,def,3000.0,0.0,0.0
92,201980_off,-0.008041371041553749,off,3000.0,0.0,0.0
93,201980_def,-0.0015984463548719475,def,3000.0,0.0,0.0
94,201988_off,-0.004545154921108934,off,3000.0,0.0,0.0
95,201988_def,0.002720726142103594,def,3000.0,0.0,0.0
96,202066_off,-0.04474281461776534,off,3000.0,0.0,0.0
97,202066_def,0.01731153210883326,def,3000.0,0.0,0.0
98,202083_off,-0.00020704341210628027,off,3000.0,0.0,0.0
99,202083_def,-0.01818880496674708,def,3000.0,0.0,0.0
100,202322_off,-0.03074844728490004,off,3000.0,0.0,0.0
101,202322_def,0.0022214232067514585,def,3000.0,0.0,0.0
102,202324_off,-0.028676136910520646,off,3000.0,0.0,0.0
103,202324_def,-0.011783998832159704,def,3000.0,0.0,0.0
104,202326_off,0.021102265784757646,off,3000.0,0.0,0.0
105,202326_def,-0.0007075902335978847,def,3000.0,0.0,0.0
106,202328_off,0.005295936756950012,off,3000.0,0.0,0.0
107,202328_def,0.0027329209642923337,def,3000.0,0.0,0.0
108,202330_off,-0.008024408665847691,off,3000.0,0.0,0.0
109,202330_def,-0.006663167735653991,def,3000.0,0.0,0.0
110,202331_off,0.03609899643087129,off,3000.0,0.0,0.0
111,202331_def,-0.03538278246529963,def,3000.0,0.0,0.0
112,202334_off,-0.01358272508708099,off,3000.0,0.0,0.0
113,202334_def,-0.007335508348902098,def,3000.0,0.0,0.0
114,202339_off,-0.02245696198019999,off,3000.0,0.0,0.0
115,202339_def,-0.012301856970294765,def,3000.0,0.0,0.0
116,202340_off,-0.02309849286653838,off,3000.0,0.0,0.0
117,202340_def,6.856699463100727e-05,def,3000.0,0.0,0.0
118,202355_off,0.029123788938375438,off,3000.0,0.0,0.0
119,202355_def,-0.014063099812499428,def,3000.0,0.0,0.0
120,202357_off,0.0050850359104838505,off,3000.0,0.0,0.0
121,202357_def,-0.007284969211609068,def,3000.0,0.0,0.0
122,202362_off,-0.002540276404046938,off,3000.0,0.0,0.0
123,202362_def,0.021341807810484708,def,3000.0,0.0,0.0
124,202397_off,-0.024988187714060577,off,3000.0,0.0,0.0
125,202397_def,0.011301045733054911,def,3000.0,0.0,0.0
126,202681_off,0.04495918527028633,off,3000.0,0.0,0.0
127,202681_def,-0.011436889715660151,def,3000.0,0.0,0.0
128,202683_off,0.007579788982393657,off,3000.0,0.0,0.0
129,202683_def,-0.012172692767927259,def,3000.0,0.0,0.0
130,202684_off,0.006382529376116415,off,3000.0,0.0,0.0
131,202684_def,-0.0019259345542674757,def,3000.0,0.0,0.0
132,202685_off,0.012697465475643469,off,3000.0,0.0,0.0
133,202685_def,0.002739325437163694,def,3000.0,0.0,0.0
134,202687_off,8.223702086679929e-05,off,3000.0,0.0,0.0
135,202687_def,-0.0073999163871438355,def,3000.0,0.0,0.0
136,202688_off,-0.003201958895732767,off,3000.0,0.0,0.0
137,202688_def,-0.004773506224361867,def,3000.0,0.0,0.0
138,202689_off,-0.010349167835073286,off,3000.0,0.0,0.0
139,202689_def,0.0024935900588682,def,3000.0,0.0,0.0
140,202691_off,0.0024112649861708513,off,3000.0,0.0,0.0
141,202691_def,0.017464780783076464,def,3000.0,0.0,0.0
142,202692_off,0.006040254520017132,off,3000.0,0.0,0.0
143,202692_def,-0.011876666933137978,def,3000.0,0.0,0.0
144,202693_off,-0.00656446356344098,off,3000.0,0.0,0.0
145,202693_def,-0.003373783348487385,def,3000.0,0.0,0.0
146,202694_off,-0.003358732053196506,off,3000.0,0.0,0.0
147,202694_def,0.015413333442803944,def,3000.0,0.0,0.0
148,202695_off,0.03161002222148328,off,3000.0,0.0,0.0
149,202695_def,-0.03392394070458131,def,3000.0,0.0,0.0
150,202696_off,0.0007987181844622344,off,3000.0,0.0,0.0
151,202696_def,0.005548660532444118,def,3000.0,0.0,0.0
152,202699_off,0.008749482163576858,off,3000.0,0.0,0.0
153,202699_def,-0.004458910716750194,def,3000.0,0.0,0.0
154,202704_off,-0.022710410958610223,off,3000.0,0.0,0.0
155,202704_def,-0.014438986329314438,def,3000.0,0.0,0.0
156,202709_off,0.0017556762079803101,off,3000.0,0.0,0.0
157,202709_def,-0.004425547996401097,def,3000.0,0.0,0.0
158,202710_off,0.02628998470330486,off,3000.0,0.0,0.0
159,202710_def,-0.010899082837913156,def,3000.0,0.0,0.0
160,202711_off,0.007555302896764657,off,3000.0,0.0,0.0
161,202711_def,0.029806854547236587,def,3000.0,0.0,0.0
162,202722_off,-0.0065462234053317156,off,3000.0,0.0,0.0
163,202722_def,0.005797018197847938,def,3000.0,0.0,0.0
164,202738_off,0.0014250571923000927,off,3000.0,0.0,0.0
165,202738_def,-0.01264600387693378,def,3000.0,0.0,0.0
166,202954_off,-0.00775797400491774,off,3000.0,0.0,0.0
167,202954_def,0.0010942710698767387,def,3000.0,0.0,0.0
168,203076_off,-0.002864893814552142,off,3000.0,0.0,0.0
169,203076_def,-0.04070443687798137,def,3000.0,0.0,0.0
170,203078_off,-0.00042704392558364683,off,3000.0,0.0,0.0
171,203078_def,0.00010958067782827443,def,3000.0,0.0,0.0
172,203081_off,0.04465799637230634,off,3000.0,0.0,0.0
173,203081_def,-0.004738955260972677,def,3000.0,0.0,0.0
174,203082_off,-0.012133587119593054,off,3000.0,0.0,0.0
175,203082_def,0.024679529240877615,def,3000.0,0.0,0.0
176,203083_off,0.007818104051676914,off,3000.0,0.0,0.0
177,203083_def,-0.013276383555257284,def,3000.0,0.0,0.0
178,203084_off,0.002750752979282914,off,3000.0,0.0,0.0
179,203084_def,0.010973964115349231,def,3000.0,0.0,0.0
180,203085_off,-0.0027433107124413816,off,3000.0,0.0,0.0
181,203085_def,0.01133606929916911,def,3000.0,0.0,0.0
182,203086_off,0.0030612371945562275,off,3000.0,0.0,0.0
183,203086_def,0.01023605774867638,def,3000.0,0.0,0.0
184,203087_off,0.003945831416783351,off,3000.0,0.0,0.0
185,203087_def,-0.00846622372334789,def,3000.0,0.0,0.0
186,203090_off,-0.012762572308605372,off,3000.0,0.0,0.0
187,203090_def,-0.00817994736224766,def,3000.0,0.0,0.0
188,203095_off,-0.020568536038954206,off,3000.0,0.0,0.0
189,203095_def,-0.005763464581580469,def,3000.0,0.0,0.0
190,203107_off,-0.026417483157597368,off,3000.0,0.0,0.0
191,203107_def,-0.00040024460195786155,def,3000.0,0.0,0.0
192,203109_off,0.006286910190479234,off,3000.0,0.0,0.0
193,203109_def,-0.014024362681420462,def,3000.0,0.0,0.0
194,203110_off,0.006490304666414618,off,3000.0,0.0,0.0
195,203110_def,-0.0489043294607636,def,3000.0,0.0,0.0
196,203114_off,0.016258699507479327,off,3000.0,0.0,0.0
197,203114_def,-0.011158274610491627,def,3000.0,0.0,0.0
198,203115_off,-0.03349358713664739,off,3000.0,0.0,0.0
199,203115_def,-9.596897141652024e-05,def,3000.0,0.0,0.0
200,203145_off,-0.02187110134791681,off,3000.0,0.0,0.0
201,203145_def,-0.0036118529725164238,def,3000.0,0.0,0.0
202,203200_off,-0.017199824236918966,off,3000.0,0.0,0.0
203,203200_def,0.008135158921004767,def,3000.0,0.0,0.0
204,203210_off,-0.012516568883206756,off,3000.0,0.0,0.0
205,203210_def,-0.00040505185820331724,def,3000.0,0.0,0.0
206,203457_off,-0.014335342014624488,off,3000.0,0.0,0.0
207,203457_def,8.483926865254602e-05,def,3000.0,0.0,0.0
208,203458_off,-0.009289668997934111,off,3000.0,0.0,0.0
209,203458_def,-0.016100413852559742,def,3000.0,0.0,0.0
210,203463_off,-0.02580566330208698,off,3000.0,0.0,0.0
211,203463_def,0.004201457173973263,def,3000.0,0.0,0.0
212,203468_off,0.01629682613876509,off,3000.0,0.0,0.0
213,203468_def,0.016136644200431167,def,3000.0,0.0,0.0
214,203469_off,-0.005344345179752828,off,3000.0,0.0,0.0
215,203469_def,0.006433483681639205,def,3000.0,0.0,0.0
216,203471_off,-0.0049060404634805556,off,3000.0,0.0,0.0
217,203471_def,-0.008306886914535336,def,3000.0,0.0,0.0
218,203473_off,-0.01551211006222625,off,3000.0,0.0,0.0
219,203473_def,-0.013732154919579312,def,3000.0,0.0,0.0
220,203476_off,-0.017007813525419697,off,3000.0,0.0,0.0
221,203476_def,-0.007061636672601127,def,3000.0,0.0,0.0
222,203482_off,0.0011990006685923134,off,3000.0,0.0,0.0
223,203482_def,0.011849245555188317,def,3000.0,0.0,0.0
224,203484_off,0.007579183825388038,off,3000.0,0.0,0.0
225,203484_def,-0.006099614871844548,def,3000.0,0.0,0.0
226,203486_off,0.0012565115267022203,off,3000.0,0.0,0.0
227,203486_def,-0.004921279609270613,def,3000.0,0.0,0.0
228,203487_off,-0.0013190344841230352,off,3000.0,0.0,0.0
229,203487_def,0.0033899845637869468,def,3000.0,0.0,0.0
230,203488_off,0.00779102051932663,off,3000.0,0.0,0.0
231,203488_def,-0.017959672870466636,def,3000.0,0.0,0.0
232,203490_off,-0.008212359585238952,off,3000.0,0.0,0.0
233,203490_def,-0.014692786837469812,def,3000.0,0.0,0.0
234,203493_off,-0.003096207767244133,off,3000.0,0.0,0.0
235,203493_def,-0.007227685951244803,def,3000.0,0.0,0.0
236,203496_off,-0.008193028478791919,off,3000.0,0.0,0.0
237,203496_def,-0.028224724414574954,def,3000.0,0.0,0.0
238,203497_off,-0.005849279004771397,off,3000.0,0.0,0.0
239,203497_def,-0.03545046045596236,def,3000.0,0.0,0.0
240,203500_off,0.039781332483452225,off,3000.0,0.0,0.0
241,203500_def,-0.01820184320784294,def,3000.0,0.0,0.0
242,203501_off,0.004331665585904238,off,3000.0,0.0,0.0
243,203501_def,-0.007610043699624541,def,3000.0,0.0,0.0
244,203503_off,-0.016997738970782366,off,3000.0,0.0,0.0
245,203503_def,0.008878462594376448,def,3000.0,0.0,0.0
246,203504_off,-0.0012837760988659952,off,3000.0,0.0,0.0
247,203504_def,-0.0016385459417770666,def,3000.0,0.0,0.0
248,203506_off,-0.016376639577176576,off,3000.0,0.0,0.0
249,203506_def,0.005626157897979651,def,3000.0,0.0,0.0
250,203507_off,0.03858395218041142,off,3000.0,0.0,0.0
